Rank,Name,Score,Finish Time,Q1 (3),Q2 (4),Q3 (5),Q4 (6),p1_time,p2_time,p3_time,p4_time
1,wifiii,18,0:16:13,0:00:43,0:03:16,0:04:43,0:16:13,43,153,87,690
2,LayCurse,18,0:20:26,0:01:55,0:06:28,0:08:40,0:20:26,115,273,132,706
3,1015634,18,0:24:24,0:00:48,0:03:26,0:07:13,0:19:24  1,48,158,227,731
4,dreamoon,18,0:27:56,0:01:39,0:08:44,0:11:25,0:27:56,99,425,161,991
5,nthistle,18,0:28:58,0:01:43  1,0:06:57,0:09:46,0:23:58,103,314,169,852
6,SaveVMK,18,0:30:43,0:00:57,0:09:57,0:05:27,0:30:43,57,270,270,1246
7,wlzhouzhuan,18,0:30:44,0:05:42,0:04:18,0:07:15,0:30:44,84,258,93,1409
8,tian-tang-6,18,0:31:13,0:01:37,0:06:17,0:08:53,0:31:13,97,280,156,1340
9,tabr,18,0:31:38,0:01:12,0:08:34,0:10:58,0:31:38,72,442,144,1240
10,LosingNowLosingLate,18,0:31:58,0:02:48,0:06:30,0:11:21,0:31:58,168,222,291,1237
11,jasonvictoryan,18,0:32:25,0:01:29,0:04:17,0:06:24,0:32:25,89,168,127,1561
12,natsugiri,18,0:33:32,0:01:49,0:10:29,0:12:43,0:28:32  1,109,520,134,949
13,AQT,18,0:33:57,0:01:18,0:05:21,0:08:56,0:28:57  1,78,243,215,1201
14,tonyluka,18,0:36:01,0:01:36,0:08:28  1,0:11:34,0:31:01,96,412,186,1167
15,song-204,18,0:36:10,0:02:19,0:08:46,0:14:52,0:36:10,139,387,366,1278
16,Tlatoani,18,0:36:37,0:01:15,0:04:22,0:06:33,0:36:37,75,187,131,1804
17,lddlinan,18,0:37:15,0:01:51,0:09:12,0:15:32,0:37:15,111,441,380,1303
18,Yulian_Yarema,18,0:37:16,0:09:27,0:12:10,0:15:11,0:37:16,567,163,181,1325
19,sdcgvhgj,18,0:37:25,0:01:36,0:09:47  1,0:12:28,0:32:25,96,491,161,1197
20,xiao-qing-wa-tf,18,0:37:47,0:06:34,0:14:03,0:07:49,0:37:47,394,374,75,1424
21,oldyan,18,0:38:03,0:01:30,0:38:03,0:05:51,0:29:31,90,512,261,1420
22,zhenguowcs,18,0:38:11,0:01:26,0:10:17,0:13:11,0:33:11  1,86,531,174,1200
23,bigmiaomiao,18,0:38:17,0:01:27,0:12:38,0:18:52,0:38:17,87,671,374,1165
24,lucifer1005,18,0:39:03,0:01:05,0:05:37,0:09:15,0:39:03,65,272,218,1788
25,i_love_xiaoshagua_cpp,18,0:39:56,0:01:23,0:09:34  1,0:13:01,0:34:56,83,491,207,1315
26,wifiii,18,0:16:13,0:00:43,0:03:16,0:04:43,0:16:13,43,153,87,690
27,LayCurse,18,0:20:26,0:01:55,0:06:28,0:08:40,0:20:26,115,273,132,706
28,1015634,18,0:24:24,0:00:48,0:03:26,0:07:13,0:19:24  1,48,158,227,731
29,dreamoon,18,0:27:56,0:01:39,0:08:44,0:11:25,0:27:56,99,425,161,991
30,nthistle,18,0:28:58,0:01:43  1,0:06:57,0:09:46,0:23:58,103,314,169,852
31,SaveVMK,18,0:30:43,0:00:57,0:09:57,0:05:27,0:30:43,57,270,270,1246
32,wlzhouzhuan,18,0:30:44,0:05:42,0:04:18,0:07:15,0:30:44,84,258,93,1409
33,tian-tang-6,18,0:31:13,0:01:37,0:06:17,0:08:53,0:31:13,97,280,156,1340
34,tabr,18,0:31:38,0:01:12,0:08:34,0:10:58,0:31:38,72,442,144,1240
35,LosingNowLosingLate,18,0:31:58,0:02:48,0:06:30,0:11:21,0:31:58,168,222,291,1237
36,jasonvictoryan,18,0:32:25,0:01:29,0:04:17,0:06:24,0:32:25,89,168,127,1561
37,natsugiri,18,0:33:32,0:01:49,0:10:29,0:12:43,0:28:32  1,109,520,134,949
38,AQT,18,0:33:57,0:01:18,0:05:21,0:08:56,0:28:57  1,78,243,215,1201
39,tonyluka,18,0:36:01,0:01:36,0:08:28  1,0:11:34,0:31:01,96,412,186,1167
40,song-204,18,0:36:10,0:02:19,0:08:46,0:14:52,0:36:10,139,387,366,1278
41,Tlatoani,18,0:36:37,0:01:15,0:04:22,0:06:33,0:36:37,75,187,131,1804
42,lddlinan,18,0:37:15,0:01:51,0:09:12,0:15:32,0:37:15,111,441,380,1303
43,Yulian_Yarema,18,0:37:16,0:09:27,0:12:10,0:15:11,0:37:16,567,163,181,1325
44,sdcgvhgj,18,0:37:25,0:01:36,0:09:47  1,0:12:28,0:32:25,96,491,161,1197
45,xiao-qing-wa-tf,18,0:37:47,0:06:34,0:14:03,0:07:49,0:37:47,394,374,75,1424
46,oldyan,18,0:38:03,0:01:30,0:38:03,0:05:51,0:29:31,90,512,261,1420
47,zhenguowcs,18,0:38:11,0:01:26,0:10:17,0:13:11,0:33:11  1,86,531,174,1200
48,bigmiaomiao,18,0:38:17,0:01:27,0:12:38,0:18:52,0:38:17,87,671,374,1165
49,lucifer1005,18,0:39:03,0:01:05,0:05:37,0:09:15,0:39:03,65,272,218,1788
50,i_love_xiaoshagua_cpp,18,0:39:56,0:01:23,0:09:34  1,0:13:01,0:34:56,83,491,207,1315
51,qingczha,18,0:39:59,0:04:32,0:09:34  1,0:11:48,0:34:59,272,302,134,1391
52,radiancesheep,18,0:40:05,0:02:15,0:10:25  1,0:13:20,0:35:05,135,490,175,1305
53,superluminal,18,0:40:12,0:00:45,0:07:57,0:10:45,0:40:12,45,432,168,1767
54,aropan,18,0:41:04,0:02:44,0:09:29,0:12:04,0:41:04,164,405,155,1740
55,hezlik,18,0:41:21,0:12:44,0:08:02,0:11:03,0:41:21,101,482,181,1717
56,volodymyr_k,18,0:41:23,0:01:59,0:13:40,0:18:59,0:41:23,119,701,319,1344
57,arignote,18,0:41:36,0:03:34,0:16:36,0:11:32,0:41:36,214,304,478,1500
58,han3000,18,0:41:41,0:02:03,0:07:53,0:10:45,0:36:41  1,123,350,172,1556
59,yge2,18,0:41:56,0:01:47,0:11:20,0:16:02,0:41:56,107,573,282,1554
60,quantuminfo,18,0:42:18,0:01:47,0:09:55,0:19:43,0:42:18,107,488,588,1355
61,foorest,18,0:44:08,0:03:12  1,0:10:53,0:14:56,0:39:08,192,461,243,1452
62,Heltion,18,0:44:13,0:01:21,0:04:37,0:06:43,0:39:13  1,81,196,126,1950
63,wjli,18,0:44:37,0:01:03,0:04:21,0:07:14,0:34:37  2,63,198,173,1643
64,uwi,18,0:44:48,0:01:19,0:05:50  1,0:07:12,0:29:48  2,79,271,82,1356
65,icyphere,18,0:44:51,0:01:33,0:23:40,0:08:13,0:44:51,93,927,400,1271
66,hank55663,18,0:45:06,0:01:08,0:03:20,0:05:08,0:40:06  1,68,132,108,2098
67,anhpp,18,0:45:08,0:01:16,0:10:39,0:14:24  1,0:35:08  1,76,563,225,1244
68,MagentaCobra,18,0:45:45,0:01:14,0:05:18,0:12:02  2,0:35:45,74,244,404,1423
69,goalboy,18,0:46:01,0:05:26,0:14:17,0:21:43,0:46:01,326,531,446,1458
70,zqy1018,18,0:47:39,0:01:15,0:06:20,0:10:26  1,0:37:39  1,75,305,246,1633
